product, category, impact_score, greener_alternative, impact_reason, alternative_reason
CHICKEN BREAST, Meat, 7, Beans, Animal protein production has higher carbon emissions, Legumes have significantly lower water and carbon footprints.
ORGANIC MILK, Dairy, 5, Oat Milk, Dairy farming contributes to methane emissions and water usage., Oat milk requires significantly less land and water.
WHOLE WHEAT BREAD, Grain, 3, Local Bread, Processed packaged bread involves transport emissions., Locally baked bread reduces food miles and plastic packaging.
APPLES, Fruit, 2, Seasonal Apples, Imported fruits increase transportation footprint., Eating seasonally and locally reduces transport emissions.
PLASTIC WATER BOTTLES, Packaging, 8, Reusable Bottle, Single-use plastics contribute to ocean pollution and take centuries to degrade., Reusable bottles eliminate recurring plastic waste completely.
RICE BASMATI, Grain, 4, Brown Rice, Rice farming produces methane emissions., Brown rice requires less processing and retains more nutrients.
GREEK YOGURT, Dairy, 5, Plant Yogurt, Dairy production contributes to greenhouse gases., Plant-based yogurts have a lower overall climate impact.
BANANAS, Fruit, 2, Local Bananas, Imported bananas increase transportation emissions., Local alternatives eliminate international shipping footprints.
ONIONS, Vegetable, 2, Local Onions, Transport and storage contribute to emissions., Local farm produce has a minimal carbon footprint.
OLIVE OIL, Oil, 6, Cold Pressed Local Oil, Imported oils increase transport emissions., Local oils reduce shipping distance and support local agriculture.
